源文件: C:\Users\34652\Desktop\20260629_重新搭建方案后日志.log
异常定义: 同一日志行中，行首时间与消息内部 DateTime.Now 时间相差超过 100ms。
异常数量: 854
生成时间: 2026-06-29 22:30:36.023

格式: 行号 | 行首时间 | 内部时间 | 偏差ms | 原始日志
206 | 2026-06-29 20:44:06.310171 | 2026-06-29 20:44:07.548 | 1237.829 | 2026-06-29 20:44:06.310171    Info    回调函数右线芯(DA7501923) 转换Mat成功, 总转换耗时:6ms, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    411    
207 | 2026-06-29 20:44:06.310181 | 2026-06-29 20:44:07.548 | 1237.819 | 2026-06-29 20:44:06.310181    Info    流程【右数线芯】接收Mat图像成功, 尺寸=1280x1024, 通道=3, 接收帧=3, 处理帧=3, 忙碌丢帧=0, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    209    
208 | 2026-06-29 20:44:06.310187 | 2026-06-29 20:44:07.548 | 1237.813 | 2026-06-29 20:44:06.310187    Info    流程【右数线芯】相机回调帧已交给专用线程, 入队耗时=0ms, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    215    
209 | 2026-06-29 20:44:06.310190 | 2026-06-29 20:44:07.548 | 1237.81 | 2026-06-29 20:44:06.310190    Info    回调函数右线芯(DA7501923) 执行完毕, 总耗时:6ms, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    424    
210 | 2026-06-29 20:44:06.310246 | 2026-06-29 20:44:07.548 | 1237.754 | 2026-06-29 20:44:06.310246    Info    流程【右数线芯】专用线程执行Run方法, 排队等待=0ms, 执行次数=3, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    275    
212 | 2026-06-29 20:44:06.310345 | 2026-06-29 20:44:07.548 | 1237.655 | 2026-06-29 20:44:06.310345    Info    回调函数左线芯(DA7501925) 转换Mat成功, 总转换耗时:6ms, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    411    
213 | 2026-06-29 20:44:06.310352 | 2026-06-29 20:44:07.548 | 1237.648 | 2026-06-29 20:44:06.310352    Info    流程【左数线芯】接收Mat图像成功, 尺寸=1280x1024, 通道=3, 接收帧=3, 处理帧=3, 忙碌丢帧=0, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    209    
214 | 2026-06-29 20:44:06.310360 | 2026-06-29 20:44:07.548 | 1237.64 | 2026-06-29 20:44:06.310360    Info    流程【左数线芯】相机回调帧已交给专用线程, 入队耗时=0ms, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    215    
215 | 2026-06-29 20:44:06.310364 | 2026-06-29 20:44:07.548 | 1237.636 | 2026-06-29 20:44:06.310364    Info    回调函数左线芯(DA7501925) 执行完毕, 总耗时:6ms, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    424    
216 | 2026-06-29 20:44:06.310385 | 2026-06-29 20:44:07.548 | 1237.615 | 2026-06-29 20:44:06.310385    Info    流程【左数线芯】专用线程执行Run方法, 排队等待=0ms, 执行次数=3, 2026-06-29 20:44:07.548    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    275    
219 | 2026-06-29 20:44:06.315067 | 2026-06-29 20:44:07.553 | 1237.933 | 2026-06-29 20:44:06.315067    Info    流程右数线芯AI检测开始2026-06-29 20:44:07.553！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    67    
220 | 2026-06-29 20:44:06.315152 | 2026-06-29 20:44:07.553 | 1237.848 | 2026-06-29 20:44:06.315152    Info    流程右数线芯AI检测,图像获取完毕2026-06-29 20:44:07.553！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    74    
224 | 2026-06-29 20:44:06.315226 | 2026-06-29 20:44:07.553 | 1237.774 | 2026-06-29 20:44:06.315226    Info    流程右数线芯AI检测,Modbus地址 获取完毕:1212, 2026-06-29 20:44:07.553！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    136    
225 | 2026-06-29 20:44:06.316059 | 2026-06-29 20:44:07.553 | 1236.941 | 2026-06-29 20:44:06.316059    Info    流程左数线芯AI检测开始2026-06-29 20:44:07.553！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    67    
226 | 2026-06-29 20:44:06.316089 | 2026-06-29 20:44:07.553 | 1236.911 | 2026-06-29 20:44:06.316089    Info    流程左数线芯AI检测,图像获取完毕2026-06-29 20:44:07.553！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    74    
230 | 2026-06-29 20:44:06.316114 | 2026-06-29 20:44:07.553 | 1236.886 | 2026-06-29 20:44:06.316114    Info    流程左数线芯AI检测,Modbus地址 获取完毕:1212, 2026-06-29 20:44:07.553！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    136    
231 | 2026-06-29 20:44:06.389987 | 2026-06-29 20:44:07.627 | 1237.013 | 2026-06-29 20:44:06.389987    Info    流程左数线芯AI检测推理完毕,结果数量:17 2026-06-29 20:44:07.627！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    249    
232 | 2026-06-29 20:44:06.390453 | 2026-06-29 20:44:07.628 | 1237.547 | 2026-06-29 20:44:06.390453    Info    流程左数线芯AI检测结果运算完毕2026-06-29 20:44:07.628！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    259    
234 | 2026-06-29 20:44:06.390515 | 2026-06-29 20:44:07.628 | 1237.485 | 2026-06-29 20:44:06.390515    Info    流程左数线芯AI检测完毕2026-06-29 20:44:07.628！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    289    
237 | 2026-06-29 20:44:06.390952 | 2026-06-29 20:44:07.628 | 1237.048 | 2026-06-29 20:44:06.390952    Fatal    流程左数线芯Modbus发送信号开始2026-06-29 20:44:07.628    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    49    
238 | 2026-06-29 20:44:06.391475 | 2026-06-29 20:44:07.629 | 1237.525 | 2026-06-29 20:44:06.391475    Fatal    流程左数线芯Modbus发送信号完毕2026-06-29 20:44:07.629    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    152    
240 | 2026-06-29 20:44:06.391791 | 2026-06-29 20:44:07.629 | 1237.209 | 2026-06-29 20:44:06.391791    Info    流程右数线芯AI检测推理完毕,结果数量:19 2026-06-29 20:44:07.629！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    249    
241 | 2026-06-29 20:44:06.391848 | 2026-06-29 20:44:07.629 | 1237.152 | 2026-06-29 20:44:06.391848    Info    流程右数线芯AI检测结果运算完毕2026-06-29 20:44:07.629！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    259    
243 | 2026-06-29 20:44:06.391864 | 2026-06-29 20:44:07.629 | 1237.136 | 2026-06-29 20:44:06.391864    Info    流程右数线芯AI检测完毕2026-06-29 20:44:07.629！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    289    
246 | 2026-06-29 20:44:06.392036 | 2026-06-29 20:44:07.629 | 1236.964 | 2026-06-29 20:44:06.392036    Fatal    流程右数线芯Modbus发送信号开始2026-06-29 20:44:07.629    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    49    
247 | 2026-06-29 20:44:06.392508 | 2026-06-29 20:44:07.629 | 1236.492 | 2026-06-29 20:44:06.392508    Fatal    流程右数线芯Modbus发送信号完毕2026-06-29 20:44:07.629    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    152    
259 | 2026-06-29 20:44:06.399506 | 2026-06-29 20:44:07.637 | 1237.494 | 2026-06-29 20:44:06.399506    Info    流程【左数线芯】专用线程Run结束, 耗时=89ms, 2026-06-29 20:44:07.637    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    287    
264 | 2026-06-29 20:44:06.400349 | 2026-06-29 20:44:07.638 | 1237.651 | 2026-06-29 20:44:06.400349    Info    流程【右数线芯】专用线程Run结束, 耗时=90ms, 2026-06-29 20:44:07.638    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    287    
267 | 2026-06-29 20:44:06.766541 | 2026-06-29 20:44:08.004 | 1237.459 | 2026-06-29 20:44:06.766541    Info    进入到回调函数右剥皮(DA7501940) , 触发次数:1 2026-06-29 20:44:08.004    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    404    
268 | 2026-06-29 20:44:06.766604 | 2026-06-29 20:44:08.004 | 1237.396 | 2026-06-29 20:44:06.766604    Info    进入到回调函数左剥皮(DA7501937) , 触发次数:0 2026-06-29 20:44:08.004    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    404    
270 | 2026-06-29 20:44:06.772398 | 2026-06-29 20:44:08.011 | 1238.602 | 2026-06-29 20:44:06.772398    Info    回调函数右剥皮(DA7501940) 转换Mat成功, 总转换耗时:5ms, 2026-06-29 20:44:08.011    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    411    
271 | 2026-06-29 20:44:06.772409 | 2026-06-29 20:44:08.011 | 1238.591 | 2026-06-29 20:44:06.772409    Info    流程【剥皮右】接收Mat图像成功, 尺寸=1280x1024, 通道=3, 接收帧=2, 处理帧=2, 忙碌丢帧=0, 2026-06-29 20:44:08.011    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    209    
272 | 2026-06-29 20:44:06.772415 | 2026-06-29 20:44:08.011 | 1238.585 | 2026-06-29 20:44:06.772415    Info    流程【剥皮右】相机回调帧已交给专用线程, 入队耗时=0ms, 2026-06-29 20:44:08.011    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    215    
273 | 2026-06-29 20:44:06.772418 | 2026-06-29 20:44:08.011 | 1238.582 | 2026-06-29 20:44:06.772418    Info    回调函数右剥皮(DA7501940) 执行完毕, 总耗时:5ms, 2026-06-29 20:44:08.011    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    424    
274 | 2026-06-29 20:44:06.772471 | 2026-06-29 20:44:08.011 | 1238.529 | 2026-06-29 20:44:06.772471    Info    流程【剥皮右】专用线程执行Run方法, 排队等待=0ms, 执行次数=2, 2026-06-29 20:44:08.011    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    275    
276 | 2026-06-29 20:44:06.773512 | 2026-06-29 20:44:08.011 | 1237.488 | 2026-06-29 20:44:06.773512    Info    回调函数左剥皮(DA7501937) 转换Mat成功, 总转换耗时:6ms, 2026-06-29 20:44:08.011    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    411    
279 | 2026-06-29 20:44:06.776197 | 2026-06-29 20:44:08.014 | 1237.803 | 2026-06-29 20:44:06.776197    Info    流程剥皮右AI检测开始2026-06-29 20:44:08.014！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    67    
280 | 2026-06-29 20:44:06.776225 | 2026-06-29 20:44:08.014 | 1237.775 | 2026-06-29 20:44:06.776225    Info    流程剥皮右AI检测,图像获取完毕2026-06-29 20:44:08.014！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    74    
284 | 2026-06-29 20:44:06.776602 | 2026-06-29 20:44:08.014 | 1237.398 | 2026-06-29 20:44:06.776602    Info    流程【剥皮左】接收Mat图像成功, 尺寸=1280x1024, 通道=3, 接收帧=1, 处理帧=1, 忙碌丢帧=0, 2026-06-29 20:44:08.014    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    209    
285 | 2026-06-29 20:44:06.776613 | 2026-06-29 20:44:08.014 | 1237.387 | 2026-06-29 20:44:06.776613    Info    流程【剥皮左】相机回调帧已交给专用线程, 入队耗时=3ms, 2026-06-29 20:44:08.014    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    215    
286 | 2026-06-29 20:44:06.776617 | 2026-06-29 20:44:08.014 | 1237.383 | 2026-06-29 20:44:06.776617    Info    回调函数左剥皮(DA7501937) 执行完毕, 总耗时:10ms, 2026-06-29 20:44:08.014    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    424    
287 | 2026-06-29 20:44:06.776656 | 2026-06-29 20:44:08.014 | 1237.344 | 2026-06-29 20:44:06.776656    Info    流程【剥皮左】专用线程执行Run方法, 排队等待=0ms, 执行次数=1, 2026-06-29 20:44:08.014    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    275    
290 | 2026-06-29 20:44:06.777778 | 2026-06-29 20:44:08.015 | 1237.222 | 2026-06-29 20:44:06.777778    Info    流程剥皮左AI检测开始2026-06-29 20:44:08.015！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    67    
291 | 2026-06-29 20:44:06.777793 | 2026-06-29 20:44:08.015 | 1237.207 | 2026-06-29 20:44:06.777793    Info    流程剥皮左AI检测,图像获取完毕2026-06-29 20:44:08.015！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    74    
295 | 2026-06-29 20:44:06.786315 | 2026-06-29 20:44:08.024 | 1237.685 | 2026-06-29 20:44:06.786315    Info    流程剥皮右AI检测,Modbus地址55 获取完毕:20, 2026-06-29 20:44:08.024！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    136    
296 | 2026-06-29 20:44:06.795946 | 2026-06-29 20:44:08.033 | 1237.054 | 2026-06-29 20:44:06.795946    Info    流程剥皮左AI检测,Modbus地址54 获取完毕:20, 2026-06-29 20:44:08.033！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    136    
297 | 2026-06-29 20:44:06.809545 | 2026-06-29 20:44:08.048 | 1238.455 | 2026-06-29 20:44:06.809545    Info    流程剥皮右AI检测推理完毕,结果数量:2 2026-06-29 20:44:08.048！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    163    
298 | 2026-06-29 20:44:06.809592 | 2026-06-29 20:44:08.048 | 1238.408 | 2026-06-29 20:44:06.809592    Info    流程剥皮右AI检测结果值:下标:6  Box:0,491,515,118 ---下标:7  Box:516,500,223,76 --- 2026-06-29 20:44:08.048！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\Parse\RL12Parse.cs    Parse    54    
299 | 2026-06-29 20:44:06.810109 | 2026-06-29 20:44:08.048 | 1237.891 | 2026-06-29 20:44:06.810109    Info    流程剥皮右AI检测结果运算完毕2026-06-29 20:44:08.048！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    174    
300 | 2026-06-29 20:44:06.810132 | 2026-06-29 20:44:08.048 | 1237.868 | 2026-06-29 20:44:06.810132    Info    流程剥皮右AI检测完毕2026-06-29 20:44:08.048！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    289    
303 | 2026-06-29 20:44:06.810411 | 2026-06-29 20:44:08.048 | 1237.589 | 2026-06-29 20:44:06.810411    Fatal    流程剥皮右Modbus发送信号开始2026-06-29 20:44:08.048    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    49    
304 | 2026-06-29 20:44:06.810913 | 2026-06-29 20:44:08.049 | 1238.087 | 2026-06-29 20:44:06.810913    Fatal    流程剥皮右Modbus发送信号完毕2026-06-29 20:44:08.049    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    152    
314 | 2026-06-29 20:44:06.815869 | 2026-06-29 20:44:08.054 | 1238.131 | 2026-06-29 20:44:06.815869    Info    流程【剥皮右】专用线程Run结束, 耗时=43ms, 2026-06-29 20:44:08.054    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    287    
